line_number	field_count	reason	raw_preview
748082	16	16_fields_missing_information	-10.1750   29.3500 0.3688945770     -.1522350311      293.8881836     0.7433270849     -2.395233154      3.156984329     -2.709503174     -5.778099060
753702	16	16_fields_missing_information	-13.2000   27.1500 -.8182830811     -2.348327637      290.2041016     0.9904800653      2.536865234      2.221951485     -3.273880005     -7.947982788
765129	16	16_fields_missing_information	-9.7750   31.5000 -1.270029068     -4.405583382      293.7294922     0.7516066432      6.154090881      7.985109329     -.6294250488E-01 -.5685377121 
771393	16	16_fields_missing_information	-13.2000   27.1500 -.7482910156E-01 -.3835296631      294.0759277     0.9526338577      6.582489014     0.4156341553     0.9037628174     -6.233398438
777462	16	16_fields_missing_information	-1.9500   32.5500 0.8376884460E-01 -.8544921875E-02  300.1879883     0.1420665272     0.6417694092     0.2225952148     0.4146270752     -.5459594727E
782924	16	16_fields_missing_information	-15.8500   23.7000  1.563192368     -6.946906090      294.1994629     0.8186313249      4.493845940      1.524903297     -2.380480766     -6.089891434
787732	16	16_fields_missing_information	-13.2000   27.1500 -3.059034348     -6.860511780      291.6513672     0.7916280031     0.1878356934     -.2293395996     -6.142013550     -11.10154724
796951	16	16_fields_missing_information	-13.2000   27.1500 -3.937254906     -3.339551926      294.2536621     0.7685080841     -.2699232101     -5.202234268     -4.773147583     -4.088380814
800422	16	16_fields_missing_information	-13.2000   27.1500 -2.790084839     -5.274627686      290.1303711     0.8870528936     -6.596462250     -3.693403244     -8.524291992     -9.639139175
815318	16	16_fields_missing_information	-11.1500   28.4500 -.6340122223     -6.385077477      295.7961426     0.7495994307     0.1235685349     -1.754361153     -1.952423096     -7.567859650
924432	16	16_fields_missing_information	-8.0250   31.6000 -1.651635170      1.760252953      279.3137207     0.7696493268      2.836147308      2.351640701     -3.003677368     0.6880836487 
954616	16	16_fields_missing_information	-13.2000   27.1500 -3.161750793     -2.678592682      297.4538574     0.4742514156      1.362035751     -3.874617577     -5.218055725     -2.596950531
960502	16	16_fields_missing_information	-9.4000   30.3250 -1.317775726      1.526928902      283.7893066     0.9999960996     -4.205657005      1.367864609     -.1332330704     -.1243486404 
1012135	16	16_fields_missing_information	-13.2000   27.1500 0.1160964966     0.4625530243      291.8762207     0.9911592416      6.139134407     -.6746826172     0.5785713196     -1.802062988
1026302	16	16_fields_missing_information	-10.1750   29.3500 -.9776458740     -1.819259644      292.3288574     0.9470014572      6.763754845     -2.385462761     -4.000671387     -4.828140259
1033795	16	16_fields_missing_information	-13.2000   27.1500 -4.635406494     -7.850082397      300.2968750     0.5964275859     -4.108535767     -9.667510986     -13.73588562     -18.10577393
1043015	16	16_fields_missing_information	-13.2000   27.1500 -.8099508286     -9.089401245      300.8488770     0.5141498819     -1.769714355     -1.920171738     -2.955554962     -10.58503723
1053452	16	16_fields_missing_information	-8.0250   31.6000  1.791855812      1.508291245      299.3886719     0.5358685851     -5.066772461      1.781916618      4.194900513      1.475189209 
1066113	16	16_fields_missing_information	-2.9000   35.1500  1.726722717     0.5591316223      294.3845215     0.8171597533     -4.141662598      4.366807938      3.592494011     -1.700820923 
1092366	16	16_fields_missing_information	-13.2000   27.1500 -.9707212448     -3.562169075      297.7404785     0.6884019375     -1.391281128     -6.777103424     -6.885254860     -8.934356689
1094818	16	16_fields_missing_information	-4.4000   31.9250 0.1407995224     -.1804418564      298.5004883     0.3581049442     -.1296682358      2.121672630     0.1733093262     -.2921571732 
1104464	16	16_fields_missing_information	-7.5750   33.3500 -.4490203857      1.576124191      290.0322266     0.8159538507      3.267807961      1.704973221      1.565521240      2.039749146 
1118972	16	16_fields_missing_information	-5.9000   35.7250 -4.420334816     -1.320837975      283.2939453     0.7520425916     -.3569030762     -3.609302521     -11.02148438     0.6719713211 
1129654	16	16_fields_missing_information	-10.0500   29.0000 -5.916671753      2.647124290      297.2934570     0.2477876544     -9.687271118      3.139286995     -9.355850220      3.725005150
